sha256	path	records	first_ts	last_ts	archived_at	collector
d4639e55fd728babd91a15ada2a8472c82be337020e418e51b74592f173fb9f3	raw/2026/06/20.jsonl.zst	553	2026-06-20T15:08:27Z	2026-06-20T23:59:46Z	2026-08-08T13:32:22Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
2eea652b91663611dbafed2787adeb5153fbaf676e8a45488cce1a99e948db41	raw/2026/06/21.jsonl.zst	1440	2026-06-21T00:00:46Z	2026-06-21T23:59:45Z	2026-08-08T13:32:24Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
d6acd947a8712c4de4aa01643b4032431a992f99d02cf34c1c90d51b57451bd5	raw/2026/06/22.jsonl.zst	482	2026-06-22T00:00:45Z	2026-06-22T22:30:04Z	2026-08-08T13:32:25Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
45ac785844fd6a34aaf1ccc3be8665d2bc21b66bb3b49ac3f6d553091c7afb1f	raw/2026/06/23.jsonl.zst	857	2026-06-23T02:00:26Z	2026-06-23T23:59:46Z	2026-08-08T13:32:26Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
7c12414b18e37c37e6f430b93f0305d108a7881936c6f1c0916de72fb4a7bcc7	raw/2026/06/24.jsonl.zst	1440	2026-06-24T00:00:46Z	2026-06-24T23:59:46Z	2026-08-08T13:32:30Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
2e06dd8d6231d580b60de3d3eafe8c6e2bb15cc02bd8de7010a7da511bf6dcea	raw/2026/06/25.jsonl.zst	1431	2026-06-25T00:00:46Z	2026-06-25T23:59:46Z	2026-08-08T13:32:34Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
f4686403cd051a013e85f2ba8e641ddfcdcfa8da3e634ca6f8f05836aba3d024	raw/2026/06/26.jsonl.zst	1430	2026-06-26T00:00:46Z	2026-06-26T23:59:47Z	2026-08-08T13:32:37Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
592070cea13508cabc09b2976b4124b2f4f53e53e4e6b83b6c2c7fefff368a63	raw/2026/06/27.jsonl.zst	1349	2026-06-27T00:00:46Z	2026-06-27T23:59:46Z	2026-08-08T13:32:41Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
07788ad0ef6e51776ea1a558ae1bde32c68f5a4e0ce6f9c000273443e2d150c7	raw/2026/06/28.jsonl.zst	1259	2026-06-28T00:01:46Z	2026-06-28T23:59:45Z	2026-08-08T13:32:44Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
a526dca578b01badb802f65af1ee567022263f8d2a5b4b0caf2126c150e48df5	raw/2026/06/29.jsonl.zst	978	2026-06-29T00:01:46Z	2026-06-29T23:58:46Z	2026-08-08T13:32:46Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
d45d857101eff6b4e078e047576f44b6e44419a237891519ea75900ec699e20b	raw/2026/06/30.jsonl.zst	812	2026-06-30T00:00:46Z	2026-06-30T23:59:46Z	2026-08-08T13:32:48Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
0428a76ae3106c9ce50c524e14c5d01a9d94358dae71d20e5d9b81dc8765939d	raw/2026/07/01.jsonl.zst	1192	2026-07-01T00:01:46Z	2026-07-01T23:59:45Z	2026-08-08T13:32:51Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
973342dc8c91934f13e24fe617fb730ecd4ff3d947dab7e21a9f718288b90200	raw/2026/07/02.jsonl.zst	899	2026-07-02T00:00:45Z	2026-07-02T23:58:46Z	2026-08-08T13:32:53Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
3f08cc3c7d1c09e2b2aad3d5e5eb944cfd81d03bc97d8950c0632f3c762e7c8e	raw/2026/07/03.jsonl.zst	822	2026-07-03T00:00:46Z	2026-07-03T23:59:46Z	2026-08-08T13:32:55Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
d3d7eec0c3ae851fbb2fec1804f9168481a84f2a582830c1b22347bc0d2da7ff	raw/2026/07/04.jsonl.zst	700	2026-07-04T00:00:46Z	2026-07-04T23:59:46Z	2026-08-08T13:32:56Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
6b946b930a5412da642848c24569b36fec061f047a53bbe41a045ee8a0d1eb2c	raw/2026/07/05.jsonl.zst	623	2026-07-05T00:01:46Z	2026-07-05T23:59:46Z	2026-08-08T13:32:57Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
d47734cb172815bff9f2bab62e1edd9dc04a313cd66cd643abf126e05a5167b7	raw/2026/07/06.jsonl.zst	698	2026-07-06T00:01:51Z	2026-07-06T23:58:47Z	2026-08-08T13:32:59Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
34d7f9ca6d90fd1eea1dde1cc33ae7b74dfe2e7b73fbf1501cba056af9e0876f	raw/2026/07/07.jsonl.zst	1004	2026-07-07T00:00:47Z	2026-07-07T23:59:45Z	2026-08-08T13:33:01Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
d6df9a2a8d3a2dc399df7575bf8502a723b865f286a6a852aed958c679331309	raw/2026/07/08.jsonl.zst	956	2026-07-08T00:00:46Z	2026-07-08T23:58:46Z	2026-08-08T13:33:03Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
6411d2ebf78555b742fb55e700dfb7ffc3ff8f1446df9a993c417916bf10cd0a	raw/2026/07/09.jsonl.zst	878	2026-07-09T00:00:46Z	2026-07-09T23:59:46Z	2026-08-08T13:33:05Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
bba48ef5e53ebfefb4a4191c941770f2fd824378e01ebcf6974141f90b3e259d	raw/2026/07/10.jsonl.zst	858	2026-07-10T00:00:46Z	2026-07-10T23:59:47Z	2026-08-08T13:33:08Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
c5aaa1081409954ae037c0b81b7ba40313cc4324f3089aaebb6244f64dc5e2a3	raw/2026/07/11.jsonl.zst	1052	2026-07-11T00:01:46Z	2026-07-11T23:59:45Z	2026-08-08T13:33:10Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
80a4b8362c400b0920331afced8234af48269208dddf7aaeec81902dbad9ec07	raw/2026/07/12.jsonl.zst	983	2026-07-12T00:00:45Z	2026-07-12T23:58:46Z	2026-08-08T13:33:12Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
e6e84ad52149befd31afcd560434a9986c59c5a43fea107708142fa1ff3d2afd	raw/2026/07/13.jsonl.zst	766	2026-07-13T00:00:46Z	2026-07-13T23:59:55Z	2026-08-08T13:33:14Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
a2a3a2e0b8f1340c924ba7c19e39dade4219d69591f231df452f7efc81fb1924	raw/2026/07/14.jsonl.zst	759	2026-07-14T00:04:46Z	2026-07-14T23:58:48Z	2026-08-08T13:33:16Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
8afd88f2db3b70ffb9e5ec645fc1546736d7577cc5b23d05f7bc86ecf107df33	raw/2026/07/15.jsonl.zst	719	2026-07-15T00:00:47Z	2026-07-15T23:58:47Z	2026-08-08T13:33:17Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
4ff076b90631bfbe8a30141bea8d677c9bc82006c9a575ba5f7960a20e230d9b	raw/2026/07/16.jsonl.zst	719	2026-07-16T00:00:48Z	2026-07-16T23:59:46Z	2026-08-08T13:33:19Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
6dfbe9183ebb293490f6fd3f12b4785de4edd273d62cb75cb95ecb8ca8df14d3	raw/2026/07/17.jsonl.zst	952	2026-07-17T00:00:46Z	2026-07-17T23:58:46Z	2026-08-08T13:33:21Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
b7883e486ceb1b6179ae5e68665e3098168374d948e8b050b5672d8efe9c3f41	raw/2026/07/18.jsonl.zst	1233	2026-07-18T00:00:46Z	2026-07-18T23:58:46Z	2026-08-08T13:33:25Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
7d4c3fd3a737b1c53ec84672db63a9ae0c57eddc7e8bc6275204b1e43b9539ad	raw/2026/07/19.jsonl.zst	770	2026-07-19T00:00:46Z	2026-07-19T23:59:46Z	2026-08-08T13:33:26Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
c5b20809d78173d59199e0d9dc1cccb9ee9586fa9487bd32e405ac0019b7ced9	raw/2026/07/20.jsonl.zst	486	2026-07-20T00:02:47Z	2026-07-20T23:57:47Z	2026-08-08T13:33:27Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
4df5bb7cc1da374bf8b062090200b5d07e0cf08d1cb37f33ec452a832d15c683	raw/2026/07/21.jsonl.zst	585	2026-07-21T00:00:47Z	2026-07-21T23:58:47Z	2026-08-08T13:33:28Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
665c363f3978c033edaa7b639c9ef26852929a6930db6cd8193050d21606ff38	raw/2026/07/22.jsonl.zst	480	2026-07-22T00:01:47Z	2026-07-22T23:57:46Z	2026-08-08T13:33:29Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
799ba03c2449444c3137f00c493f10994ee03c02f2349255fea4f2e276548960	raw/2026/07/23.jsonl.zst	478	2026-07-23T00:00:46Z	2026-07-23T23:58:47Z	2026-08-08T13:33:30Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
3a0485c578a8d6c7cd20a8ccaf595404eef86f42d25fe1d8aa39803c137bc0d3	raw/2026/07/24.jsonl.zst	480	2026-07-24T00:01:47Z	2026-07-24T23:57:46Z	2026-08-08T13:33:31Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
3bc943549e1075c5ba540b3b07396d7e264bd450d3722eb4495fb9527f4c0c5e	raw/2026/07/25.jsonl.zst	572	2026-07-25T00:00:46Z	2026-07-25T23:59:47Z	2026-08-08T13:33:32Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
1c7432d93740301fe0a53dabd5f52fb0bf7f5a191938ca292262d5bedf1f3cd6	raw/2026/07/26.jsonl.zst	479	2026-07-26T00:02:47Z	2026-07-26T23:57:47Z	2026-08-08T13:33:33Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
d97bcb9dfb7aee44f31f22d54daa8cb1ea09ba1f39b4d67e3a0560b544e790b6	raw/2026/07/27.jsonl.zst	643	2026-07-27T00:00:46Z	2026-07-27T23:58:46Z	2026-08-08T13:33:34Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
2112b2a12df978ef3b33e6a5ae42004733370f663b6160a1fe8b9d2ad63d9e05	raw/2026/07/28.jsonl.zst	578	2026-07-28T00:00:45Z	2026-07-28T23:58:46Z	2026-08-08T13:33:36Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
2ffcd41b95dc96fed11fdde90169311c6fc84c4f2ac9bd5c918abc94ac8fec39	raw/2026/07/29.jsonl.zst	494	2026-07-29T00:01:47Z	2026-07-29T23:59:45Z	2026-08-08T13:33:38Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
0499e2cfe90d00c0cc17d9472a22be3db4634d17a4059aea9ade1dc797ce9669	raw/2026/07/30.jsonl.zst	480	2026-07-30T00:02:45Z	2026-07-30T23:58:46Z	2026-08-08T13:33:39Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
ef34d4b98be3c3d2e0dd66b2da49ecc51d902a4140793aa289541e555ecaef44	raw/2026/07/31.jsonl.zst	479	2026-07-31T00:01:46Z	2026-07-31T23:58:46Z	2026-08-08T13:33:40Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
92a0eb67de63a70744eda7c07cf0f8bde2981631f63c104d3e60f8c2423fc7be	raw/2026/08/01.jsonl.zst	476	2026-08-01T00:01:45Z	2026-08-01T23:59:45Z	2026-08-08T13:33:42Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
a954edabf4616ad579f7de94dc22c3ddd81dc3da7da136f71a2fdd2fe28a5705	raw/2026/08/02.jsonl.zst	479	2026-08-02T00:02:46Z	2026-08-02T23:59:45Z	2026-08-08T13:33:43Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
737310388d562837a40c253a35c5757b8745cda9ed480ca43b4c38f932394463	raw/2026/08/03.jsonl.zst	478	2026-08-03T00:02:45Z	2026-08-03T23:58:46Z	2026-08-08T13:33:45Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
1211235fb6a27ffebb885fdb620670be139d7fc888f6e0b2a1750c8812c528b9	raw/2026/08/04.jsonl.zst	480	2026-08-04T00:01:46Z	2026-08-04T23:57:46Z	2026-08-08T13:33:46Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
