sha256	path	records	first_ts	last_ts	archived_at	collector
4d2dfe1ff38e779ddc4499e020fe8086d5eba3f21eeaa3228a490d507dbf6270	vantage/sin/raw/2026/08/08.jsonl.zst	556	2026-08-08T14:47:02Z	2026-08-08T23:59:34Z	2026-08-09T00:06:38Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
38f6645c549052e0b71368760e09de9e041a9d82f1ee33959d995dc76e9288f3	vantage/sin/raw/2026/08/09.jsonl.zst	1445	2026-08-09T00:00:34Z	2026-08-09T23:59:51Z	2026-08-10T00:08:24Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
a2038861dc5941d0a369b020a096dbbc03aa54f94d1ec40b4cb139684df61adb	vantage/sin/raw/2026/08/10.jsonl.zst	1453	2026-08-10T00:00:51Z	2026-08-10T23:59:42Z	2026-08-11T00:12:12Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
1824f81caa914bbfe40e67f2f45d93b80fa30b92043af9e54916f9eaf9e24dd2	vantage/sin/raw/2026/08/11.jsonl.zst	1468	2026-08-11T00:00:42Z	2026-08-11T23:59:52Z	2026-08-12T00:14:24Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
3b26d2721263084548a33cebfa7d5674274772abaccd9ebc49b5f1e3f4f1c41c	vantage/sin/raw/2026/08/12.jsonl.zst	1447	2026-08-12T00:00:52Z	2026-08-12T23:59:00Z	2026-08-13T00:13:02Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
0329da149aa8083966a1776ac5c8ddc303adefcac91d7f32437e9dbd1ad781c3	vantage/sin/raw/2026/08/13.jsonl.zst	1473	2026-08-13T00:00:01Z	2026-08-13T23:59:51Z	2026-08-14T00:04:48Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
fab2643807e8937c7c78d6b5206ffc1e9f92b8408282476c065bf3ce3316257d	vantage/sin/raw/2026/08/14.jsonl.zst	1474	2026-08-14T00:00:52Z	2026-08-14T23:59:08Z	2026-08-15T00:13:15Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
f2d51a6d3af2cb3cf2a66c3077bff1ec90a3782c068ae9a9e0fdeac777d3c110	vantage/sin/raw/2026/08/15.jsonl.zst	1481	2026-08-15T00:00:08Z	2026-08-15T23:59:49Z	2026-08-16T00:03:42Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
b9c769822fbb41cde882ef20e662c906040c80667776580824ce43ee0d84b7a4	vantage/sin/raw/2026/08/16.jsonl.zst	1478	2026-08-16T00:00:50Z	2026-08-16T23:59:48Z	2026-08-17T00:09:01Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
9df46022fa67f8f9260fdce43000123cf8d8adf5e70e832d5bf1c632967b5b3a	vantage/sin/raw/2026/08/17.jsonl.zst	1477	2026-08-17T00:00:47Z	2026-08-17T23:59:53Z	2026-08-18T00:11:44Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
45cc8f0f7ce8ea62f85bf8733162c59b1138435c0cbd607245116333d7005d14	vantage/sin/raw/2026/08/18.jsonl.zst	1472	2026-08-18T00:00:52Z	2026-08-18T23:59:33Z	2026-08-19T00:02:36Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
079d663d8824d2e488d0d27c429b6fef9d585e3dc684aad7ca9467ece062ffd3	vantage/sin/raw/2026/08/19.jsonl.zst	1472	2026-08-19T00:00:33Z	2026-08-19T23:59:32Z	2026-08-20T00:11:34Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
f8b2a3e5e620e4236eb3675b0daf091314a6c3aea755e1ba7d693681ee2457e5	vantage/sin/raw/2026/08/20.jsonl.zst	1475	2026-08-20T00:00:32Z	2026-08-20T23:59:49Z	2026-08-21T00:02:38Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
efbd3f6b4c9a09490399ea267662c0543ba9e03feb9d270b1474bc85130119b8	vantage/sin/raw/2026/08/21.jsonl.zst	1477	2026-08-21T00:00:49Z	2026-08-21T23:59:20Z	2026-08-22T00:10:23Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
f7e3af36af0b072d017ae5ad009a6aa27dbf7aa37df9e7d20930737b9da03f83	vantage/sin/raw/2026/08/22.jsonl.zst	1481	2026-08-22T00:00:20Z	2026-08-22T23:59:25Z	2026-08-23T00:01:27Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
6c9d869becc7b404d6f12feabdcf8309858f5d30df391f648d3e6020fecd446c	vantage/sin/raw/2026/08/23.jsonl.zst	1483	2026-08-23T00:00:25Z	2026-08-23T23:59:49Z	2026-08-24T00:07:50Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
8e08c6e2b2f156590e8a4591ee14e2d0c785e4c33fcfe521d686eb5989a466ac	vantage/sin/raw/2026/08/24.jsonl.zst	1472	2026-08-24T00:00:48Z	2026-08-24T23:59:07Z	2026-08-25T00:01:09Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
c489e59de3c5e3aee095db423467fa3abc45c73bdeb55756aac4986e8749aa02	vantage/sin/raw/2026/08/25.jsonl.zst	1474	2026-08-25T00:00:07Z	2026-08-25T23:59:32Z	2026-08-26T00:10:34Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
e784ecb10e0a22eb281cbee3bb70dd6f2628c59a9eedf0475d833b18d66abd5e	vantage/sin/raw/2026/08/26.jsonl.zst	1474	2026-08-26T00:00:32Z	2026-08-26T23:59:39Z	2026-08-27T00:07:19Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
f550d9ead5aaaffbdf31d02b7f0e62268a1a9b3f4913574597582714c6557e8a	vantage/sin/raw/2026/08/27.jsonl.zst	1473	2026-08-27T00:00:41Z	2026-08-27T23:59:24Z	2026-08-28T00:02:06Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
bb86a70e25d189b8879ae70eb999d328ff7d0cea818358a66f399feaeab21e34	vantage/sin/raw/2026/08/28.jsonl.zst	1476	2026-08-28T00:00:25Z	2026-08-28T23:59:15Z	2026-08-29T00:09:17Z	0fcd020edfd9d71e7c36d971dad47ba88442a520
